inventory_id,product_id,warehouse_id,quantity_available,quantity_reserved,reorder_point,last_restock_date,last_stock_check,bin_location
6036,2023,3,318,32,10,2024-11-26 11:51:00,2025-01-08 11:51:00,x-48-66
6037,2024,2,199,9,10,2023-04-23 12:38:00,2023-05-15 12:38:00,b-45-84
6038,2025,5,148,41,100,2023-06-17 11:57:00,2023-08-16 11:57:00,h-10-25
6039,2025,2,295,17,30,2023-10-09 04:34:00,2023-12-07 04:34:00,c-64-33
6040,2025,1,55,1,100,2023-03-26 17:07:00,2023-05-19 17:07:00,u-04-48
6041,2026,4,26,5,50,2024-08-05 07:37:00,2024-08-15 07:37:00,Z-45-91
6042,2026,5,342,18,30,2023-04-25 18:06:00,2023-04-30 18:06:00,P-01-84
6043,2027,2,164,14,50,2023-05-08 01:06:00,2023-05-15 01:06:00,k-55-78
6044,2028,3,343,4,100,2023-02-22 12:47:00,2023-04-22 12:47:00,t-81-18
6045,2028,1,18,42,20,2023-04-07 18:54:00,2023-06-04 18:54:00,k-01-08
6046,2029,5,206,36,20,2024-01-26 06:20:00,2024-03-26 06:20:00,j-17-07
6047,2030,5,24,2,50,2024-10-13 20:55:00,2024-12-03 20:55:00,N-07-25
6048,2030,2,141,37,30,2023-10-24 00:36:00,2023-11-18 00:36:00,o-87-48
6049,2030,4,293,14,100,2024-06-15 23:31:00,2024-07-18 23:31:00,J-02-83
6050,2031,2,253,12,50,2023-02-01 14:53:00,2023-02-03 14:53:00,p-60-69
6051,2032,5,46,1,100,2024-11-26 07:21:00,2025-01-06 07:21:00,C-02-69
6052,2032,4,153,48,50,2023-06-12 04:30:00,2023-07-01 04:30:00,M-22-00
6053,2033,4,297,47,50,2023-09-12 01:25:00,2023-11-06 01:25:00,z-28-81
6054,2034,3,390,35,50,2023-06-02 13:28:00,2023-06-29 13:28:00,M-34-71
6055,2034,4,390,39,50,2023-07-30 18:17:00,2023-09-03 18:17:00,J-37-61
6056,2035,5,184,17,10,2023-02-23 22:45:00,2023-03-17 22:45:00,g-68-16
6057,2035,3,227,13,30,2023-02-10 00:09:00,2023-02-28 00:09:00,d-02-72
6058,2036,5,166,31,20,2023-09-20 21:40:00,2023-10-13 21:40:00,r-83-53
6059,2036,2,86,10,10,2023-11-09 21:18:00,2023-12-20 21:18:00,o-34-22
6060,2037,2,316,21,100,2023-03-30 15:50:00,2023-05-02 15:50:00,O-91-72
6061,2038,5,41,40,30,2023-11-06 04:52:00,2023-12-09 04:52:00,o-96-42
6062,2039,3,2,5,50,2024-12-22 16:06:00,2024-12-27 16:06:00,C-10-37
6063,2040,5,89,41,10,2023-10-24 23:01:00,2023-10-28 23:01:00,Z-82-00
6064,2040,3,328,7,30,2024-07-20 03:47:00,2024-08-17 03:47:00,L-71-25
6065,2041,4,96,16,30,2023-08-09 05:13:00,2023-09-29 05:13:00,H-64-02
6066,2042,2,360,8,50,2024-03-18 16:48:00,2024-04-17 16:48:00,s-42-05
6067,2042,5,262,22,30,2023-09-11 08:37:00,2023-11-01 08:37:00,O-17-80
6068,2043,2,398,1,100,2024-08-07 05:58:00,2024-09-15 05:58:00,p-22-27
6069,2043,3,44,38,20,2024-12-30 14:00:00,2025-02-27 14:00:00,R-47-66
6070,2044,3,107,42,50,2023-08-05 13:01:00,2023-09-01 13:01:00,X-97-10
6071,2045,2,110,9,100,2024-03-15 04:42:00,2024-05-05 04:42:00,n-47-24
6072,2046,1,355,28,50,2023-02-11 02:33:00,2023-03-29 02:33:00,k-79-02
6073,2047,4,184,49,30,2023-12-20 15:11:00,2023-12-24 15:11:00,f-53-92
6074,2047,2,7,32,20,2023-01-16 19:31:00,2023-03-06 19:31:00,t-31-06
6075,2048,5,363,15,50,2024-10-23 00:21:00,2024-11-01 00:21:00,E-93-29
6076,2049,2,377,41,30,2023-09-20 14:50:00,2023-10-15 14:50:00,n-30-78
6077,2049,1,150,21,50,2023-08-10 23:36:00,2023-08-22 23:36:00,z-13-40
6078,2050,5,121,32,50,2024-04-28 16:04:00,2024-06-18 16:04:00,b-91-11
6079,2050,2,372,7,20,2023-03-20 00:51:00,2023-05-10 00:51:00,A-08-19
6080,2051,4,316,19,50,2023-02-06 04:23:00,2023-04-05 04:23:00,u-52-15
6081,2052,2,399,44,100,2023-12-16 18:11:00,2023-12-24 18:11:00,J-37-51
6082,2053,5,210,23,10,2024-08-20 01:41:00,2024-09-14 01:41:00,A-29-20
6083,2053,4,109,27,30,2023-06-25 13:10:00,2023-07-19 13:10:00,s-95-55
6084,2053,2,110,32,50,2023-01-29 11:57:00,2023-03-25 11:57:00,c-82-88
6085,2054,1,247,18,30,2023-06-25 05:14:00,2023-08-14 05:14:00,Y-79-93
6086,2054,4,368,0,100,2024-07-17 04:37:00,2024-07-21 04:37:00,X-95-92
6087,2054,5,109,26,50,2023-07-25 23:10:00,2023-09-14 23:10:00,v-71-46
6088,2055,5,308,15,50,2024-12-26 16:06:00,2025-02-24 16:06:00,v-82-46
6089,2055,3,67,5,10,2024-03-14 06:06:00,2024-04-13 06:06:00,U-84-40
6090,2056,1,81,44,100,2024-06-16 01:58:00,2024-08-15 01:58:00,H-00-90
6091,2056,5,311,5,10,2024-06-30 00:46:00,2024-07-11 00:46:00,N-77-75
6092,2057,5,55,42,100,2024-12-23 00:19:00,2025-01-25 00:19:00,F-18-21
6093,2057,3,57,38,20,2024-10-16 13:32:00,2024-12-05 13:32:00,Y-32-03
6094,2058,3,371,39,50,2024-04-20 16:46:00,2024-05-09 16:46:00,q-82-34
6095,2059,5,142,5,100,2023-04-13 06:07:00,2023-05-12 06:07:00,S-09-23
6096,2059,1,171,40,50,2024-11-21 20:05:00,2024-12-10 20:05:00,z-86-94
6097,2060,4,231,5,10,2023-03-05 19:06:00,2023-04-03 19:06:00,P-58-90
6098,2060,2,42,34,30,2024-08-22 22:38:00,2024-10-11 22:38:00,M-83-80
6099,2061,5,239,13,10,2023-05-04 10:26:00,2023-07-02 10:26:00,I-69-63
6100,2062,3,389,10,10,2024-03-07 04:32:00,2024-03-15 04:32:00,L-67-59
6101,2062,2,355,2,20,2023-03-14 10:49:00,2023-05-09 10:49:00,T-52-60
6102,2062,5,6,39,100,2024-01-31 17:15:00,2024-03-27 17:15:00,t-56-35
6103,2063,4,251,40,50,2023-07-08 00:23:00,2023-08-20 00:23:00,V-48-00
6104,2063,2,38,42,10,2024-02-12 17:25:00,2024-03-02 17:25:00,k-98-96
6105,2063,3,64,45,30,2024-07-03 19:57:00,2024-09-01 19:57:00,q-36-11
6106,2064,1,67,42,10,2023-06-23 21:49:00,2023-06-30 21:49:00,b-89-39
6107,2065,2,343,11,50,2023-10-20 23:12:00,2023-12-06 23:12:00,d-25-23
6108,2066,4,95,9,30,2024-08-17 03:49:00,2024-10-04 03:49:00,V-04-80
6109,2066,5,230,43,10,2023-10-18 02:17:00,2023-11-30 02:17:00,t-54-67
6110,2066,3,22,5,30,2023-11-30 15:27:00,2024-01-05 15:27:00,k-09-24
6111,2067,1,339,14,30,2023-02-28 03:14:00,2023-04-05 03:14:00,D-34-24
6112,2067,4,342,37,100,2024-06-27 02:09:00,2024-07-26 02:09:00,O-76-57
6113,2068,3,75,19,30,2024-07-11 18:29:00,2024-07-24 18:29:00,Z-19-77
6114,2069,4,254,6,20,2023-07-30 05:42:00,2023-08-10 05:42:00,C-43-83
6115,2070,1,198,42,50,2023-01-11 14:21:00,2023-03-12 14:21:00,V-89-80
6116,2071,2,304,4,10,2023-02-03 22:38:00,2023-02-27 22:38:00,W-00-37
6117,2072,3,78,13,50,2023-05-26 18:12:00,2023-07-23 18:12:00,J-51-66
6118,2073,4,276,38,100,2023-01-24 00:46:00,2023-03-01 00:46:00,R-08-25
6119,2073,2,77,30,100,2024-08-05 20:25:00,2024-08-19 20:25:00,l-29-90
6120,2074,1,136,10,30,2024-07-31 00:07:00,2024-08-07 00:07:00,s-36-40
6121,2075,5,330,19,50,2023-12-24 02:52:00,2024-01-20 02:52:00,e-09-04
6122,2075,1,182,7,100,2023-12-22 08:52:00,2023-12-30 08:52:00,r-74-91
6123,2076,3,170,1,100,2024-03-15 17:14:00,2024-03-31 17:14:00,W-79-58
6124,2076,1,295,13,10,2023-02-09 03:03:00,2023-02-11 03:03:00,s-07-84
6125,2076,2,257,38,30,2023-09-23 10:18:00,2023-09-24 10:18:00,u-28-13
6126,2077,2,132,30,50,2024-09-01 06:11:00,2024-10-20 06:11:00,c-27-55
6127,2078,3,51,31,30,2024-07-18 14:37:00,2024-08-26 14:37:00,Y-28-56
6128,2078,1,290,49,100,2024-07-18 16:12:00,2024-07-29 16:12:00,Y-59-83
6129,2079,5,2,0,10,2023-05-10 15:15:00,2023-07-06 15:15:00,T-21-03
6130,2080,5,106,30,50,2023-11-18 05:51:00,2024-01-09 05:51:00,G-97-62
6131,2080,3,74,50,100,2024-09-09 16:13:00,2024-09-13 16:13:00,O-05-24
6132,2080,1,262,21,30,2023-10-25 19:54:00,2023-11-21 19:54:00,D-81-67
6133,2081,4,33,37,30,2023-01-22 21:28:00,2023-02-10 21:28:00,Q-26-79
6134,2082,2,177,6,10,2023-09-30 22:00:00,2023-10-10 22:00:00,v-74-96
6135,2083,5,315,6,20,2024-12-30 07:07:00,2025-01-26 07:07:00,u-87-45
6136,2084,1,400,26,30,2024-05-21 16:29:00,2024-06-15 16:29:00,H-64-44
6137,2084,3,261,38,30,2023-01-03 21:09:00,2023-02-21 21:09:00,W-72-07
6138,2085,3,279,15,30,2024-10-06 20:49:00,2024-11-17 20:49:00,l-27-54
6139,2086,3,147,37,10,2024-04-14 20:58:00,2024-04-19 20:58:00,I-98-88
6140,2087,2,31,8,30,2024-12-31 21:50:00,2025-01-11 21:50:00,T-25-63
6141,2087,1,222,32,20,2024-04-08 08:31:00,2024-04-14 08:31:00,q-33-41
6142,2088,5,313,47,50,2024-01-14 23:11:00,2024-02-16 23:11:00,G-82-94
6143,2089,3,228,0,20,2024-05-06 08:16:00,2024-07-04 08:16:00,p-38-16
6144,2090,1,239,19,20,2024-07-22 20:34:00,2024-07-26 20:34:00,w-17-23
6145,2090,5,13,8,20,2024-05-08 11:42:00,2024-07-02 11:42:00,g-48-47
6146,2091,4,235,4,50,2024-02-23 12:23:00,2024-03-08 12:23:00,s-00-26
6147,2092,5,350,14,50,2023-02-05 06:47:00,2023-04-02 06:47:00,p-70-56
6148,2093,2,0,8,50,2024-07-29 04:45:00,2024-09-27 04:45:00,x-25-22
6149,2093,3,75,44,10,2023-09-28 13:08:00,2023-10-21 13:08:00,U-79-91
6150,2094,3,381,27,10,2023-10-03 05:55:00,2023-11-22 05:55:00,z-73-17
6151,2094,1,39,36,50,2024-01-15 08:41:00,2024-02-06 08:41:00,l-08-95
6152,2095,2,343,16,50,2024-05-31 00:11:00,2024-07-20 00:11:00,C-95-17
6153,2096,2,162,5,20,2024-01-01 01:02:00,2024-01-15 01:02:00,d-18-44
6154,2097,1,304,35,100,2024-07-02 14:54:00,2024-07-23 14:54:00,T-10-25
6155,2097,2,310,26,50,2024-05-31 07:31:00,2024-06-15 07:31:00,Y-00-63
6156,2098,4,148,5,50,2024-09-20 21:54:00,2024-10-31 21:54:00,T-87-88
6157,2098,3,338,23,50,2023-04-20 14:49:00,2023-06-18 14:49:00,s-02-51
6158,2099,1,30,3,50,2023-08-27 09:58:00,2023-09-06 09:58:00,G-18-35
6159,2100,2,44,22,100,2023-07-07 15:25:00,2023-07-20 15:25:00,K-32-10
6160,2101,1,162,2,20,2024-07-26 09:18:00,2024-08-10 09:18:00,E-58-75
6161,2102,2,220,7,50,2023-11-23 08:29:00,2023-12-23 08:29:00,w-81-72
6162,2102,1,19,31,20,2023-03-16 03:05:00,2023-04-19 03:05:00,S-41-85
6163,2102,3,398,50,30,2024-09-30 07:29:00,2024-11-23 07:29:00,E-13-33
6164,2103,2,333,38,20,2023-06-28 22:37:00,2023-07-22 22:37:00,W-34-87
6165,2104,2,31,22,50,2024-08-31 03:31:00,2024-10-04 03:31:00,M-90-34
6166,2105,5,292,20,100,2023-04-12 09:49:00,2023-05-27 09:49:00,F-94-95
6167,2105,4,28,40,20,2024-12-01 12:48:00,2024-12-29 12:48:00,e-79-12
6168,2106,3,274,29,20,2023-10-31 06:21:00,2023-12-03 06:21:00,l-92-31
6169,2107,4,59,23,50,2023-10-07 15:10:00,2023-11-03 15:10:00,B-39-20
6170,2107,5,313,0,20,2024-05-09 15:20:00,2024-07-08 15:20:00,U-45-94
6171,2107,2,33,24,100,2023-08-20 11:28:00,2023-09-08 11:28:00,e-72-98
6172,2108,5,61,27,10,2024-10-30 18:32:00,2024-11-21 18:32:00,E-57-82
6173,2108,3,62,12,100,2023-05-07 06:48:00,2023-07-05 06:48:00,c-83-14
6174,2108,2,254,14,20,2024-03-21 21:00:00,2024-05-10 21:00:00,n-85-96
6175,2109,5,174,48,50,2023-03-09 04:27:00,2023-04-17 04:27:00,F-67-01
6176,2109,2,171,31,100,2024-12-11 02:04:00,2024-12-25 02:04:00,q-07-56
6177,2109,4,258,25,20,2023-04-19 05:28:00,2023-05-16 05:28:00,f-37-17
6178,2110,5,222,38,30,2024-10-06 08:40:00,2024-10-21 08:40:00,F-63-89
6179,2110,3,189,6,20,2023-05-11 12:37:00,2023-07-03 12:37:00,j-80-22
6180,2111,4,204,31,20,2024-04-03 22:16:00,2024-04-14 22:16:00,m-67-62
6181,2112,1,63,32,20,2024-06-10 16:20:00,2024-07-25 16:20:00,s-28-05
6182,2113,1,271,22,20,2023-09-11 00:49:00,2023-10-26 00:49:00,L-38-84
6183,2114,4,43,6,30,2024-04-12 19:45:00,2024-06-11 19:45:00,J-59-55
6184,2115,5,125,9,20,2023-06-06 03:54:00,2023-06-21 03:54:00,M-82-39
6185,2115,4,178,11,100,2023-04-14 14:29:00,2023-04-23 14:29:00,z-81-62
6186,2115,1,165,43,10,2024-07-08 01:21:00,2024-08-05 01:21:00,R-34-86
6187,2116,2,287,1,30,2023-10-07 18:50:00,2023-11-07 18:50:00,S-83-74
6188,2117,4,3,29,20,2023-09-21 15:03:00,2023-10-14 15:03:00,Q-83-05
6189,2118,2,130,46,30,2024-06-26 04:16:00,2024-07-20 04:16:00,C-92-95
6190,2118,1,225,29,100,2023-05-18 12:02:00,2023-07-12 12:02:00,D-17-24
6191,2119,1,359,43,20,2023-09-19 11:14:00,2023-09-24 11:14:00,L-12-84
6192,2120,1,239,27,50,2024-09-28 10:44:00,2024-11-08 10:44:00,Y-55-93
6193,2121,4,57,29,30,2023-01-16 01:20:00,2023-03-02 01:20:00,u-36-13
6194,2122,4,98,31,50,2024-12-05 02:57:00,2024-12-13 02:57:00,c-47-31
6195,2122,2,65,12,100,2023-03-01 21:02:00,2023-03-10 21:02:00,J-19-98
6196,2123,5,334,29,20,2024-02-17 06:12:00,2024-02-26 06:12:00,d-53-95
6197,2124,5,253,3,10,2023-07-13 18:16:00,2023-09-02 18:16:00,O-52-01
6198,2124,4,211,45,100,2024-01-08 20:37:00,2024-01-21 20:37:00,U-44-23
6199,2124,3,102,4,10,2024-06-23 05:51:00,2024-07-06 05:51:00,T-85-66
6200,2125,5,349,11,100,2023-08-02 02:02:00,2023-09-18 02:02:00,x-77-93
6201,2125,1,11,11,20,2023-04-07 12:19:00,2023-04-14 12:19:00,T-82-22
6202,2126,2,370,44,100,2023-01-23 01:14:00,2023-03-10 01:14:00,e-36-14
6203,2126,4,139,11,20,2024-12-29 07:11:00,2025-02-26 07:11:00,E-01-10
6204,2127,4,6,47,100,2024-05-14 17:48:00,2024-06-14 17:48:00,g-55-22
6205,2128,2,382,44,50,2024-01-08 10:04:00,2024-02-21 10:04:00,g-77-47
6206,2129,5,319,44,20,2023-10-15 04:02:00,2023-11-27 04:02:00,T-17-37
6207,2130,4,125,12,50,2024-05-27 02:10:00,2024-06-17 02:10:00,y-72-28
6208,2131,2,44,16,20,2023-06-22 02:26:00,2023-07-26 02:26:00,t-24-44
6209,2131,3,165,7,50,2023-09-11 02:25:00,2023-09-26 02:25:00,I-44-92
6210,2132,3,386,0,100,2023-03-29 11:58:00,2023-04-16 11:58:00,c-04-29
6211,2132,1,257,0,30,2024-09-12 07:56:00,2024-11-09 07:56:00,x-67-65
6212,2133,3,121,7,10,2024-12-19 23:02:00,2024-12-30 23:02:00,w-80-93
6213,2134,2,236,6,100,2023-02-19 02:48:00,2023-04-07 02:48:00,U-25-61
6214,2135,5,358,9,10,2024-07-02 14:38:00,2024-08-02 14:38:00,V-31-56
6215,2135,3,299,3,30,2023-01-18 02:56:00,2023-02-21 02:56:00,j-15-85
6216,2136,1,75,14,20,2024-11-13 00:28:00,2024-12-01 00:28:00,m-42-91
6217,2136,2,338,15,10,2023-03-22 07:21:00,2023-05-13 07:21:00,m-71-79
6218,2136,3,187,7,100,2023-01-04 08:06:00,2023-02-11 08:06:00,x-70-45
6219,2137,4,285,3,100,2023-10-05 14:28:00,2023-10-13 14:28:00,S-38-92
6220,2137,2,370,50,30,2024-02-15 14:08:00,2024-03-30 14:08:00,l-98-60
6221,2138,1,131,34,10,2024-08-28 01:03:00,2024-09-29 01:03:00,g-22-83
6222,2138,5,308,25,10,2023-03-11 11:53:00,2023-04-01 11:53:00,o-48-68
6223,2138,3,101,5,100,2023-07-13 15:02:00,2023-09-06 15:02:00,B-60-86
6224,2139,3,244,23,10,2024-12-02 22:51:00,2024-12-06 22:51:00,V-07-51
6225,2140,3,286,14,100,2023-01-14 03:30:00,2023-02-10 03:30:00,H-62-63
6226,2141,5,244,37,30,2023-03-30 22:49:00,2023-04-17 22:49:00,Y-28-40
6227,2142,2,371,9,10,2023-02-18 14:56:00,2023-04-04 14:56:00,G-44-61
6228,2142,1,213,42,50,2023-04-06 00:56:00,2023-04-11 00:56:00,T-42-56
6229,2142,5,367,4,10,2023-10-23 02:33:00,2023-11-12 02:33:00,h-81-35
6230,2143,2,37,12,10,2023-01-24 03:22:00,2023-02-21 03:22:00,J-97-99
6231,2144,5,50,12,100,2024-06-15 06:44:00,2024-07-14 06:44:00,P-38-59
6232,2144,2,56,43,100,2023-08-09 06:42:00,2023-08-14 06:42:00,R-52-38
6233,2145,5,247,21,20,2023-01-04 11:31:00,2023-02-21 11:31:00,i-61-76
6234,2146,4,379,16,10,2023-08-19 23:02:00,2023-08-22 23:02:00,Z-60-54
6235,2147,2,91,38,10,2024-04-27 19:51:00,2024-05-21 19:51:00,D-89-99
6236,2148,2,232,23,50,2023-03-09 09:24:00,2023-03-12 09:24:00,J-03-14
6237,2148,5,335,10,20,2024-06-27 21:02:00,2024-07-22 21:02:00,Q-63-16
6238,2148,1,315,47,50,2024-10-10 00:15:00,2024-10-11 00:15:00,I-78-76
6239,2149,1,273,30,30,2024-12-20 12:59:00,2025-02-08 12:59:00,o-52-85
6240,2149,4,17,15,20,2023-01-25 17:22:00,2023-01-29 17:22:00,Q-46-63
6241,2149,2,24,3,30,2024-01-24 19:20:00,2024-02-20 19:20:00,n-94-36
6242,2150,5,338,17,100,2024-04-07 11:17:00,2024-05-09 11:17:00,h-60-93
6243,2150,2,114,5,100,2023-04-25 21:59:00,2023-04-30 21:59:00,T-32-93
6244,2150,3,333,40,50,2023-11-22 21:44:00,2024-01-13 21:44:00,H-50-52
6245,2151,3,153,27,10,2024-03-25 07:39:00,2024-05-24 07:39:00,c-46-07
6246,2151,1,54,46,20,2023-11-01 06:21:00,2023-12-12 06:21:00,H-93-21
6247,2152,4,325,32,10,2024-04-19 13:53:00,2024-05-29 13:53:00,L-23-82
6248,2153,1,352,18,30,2024-01-31 01:17:00,2024-02-29 01:17:00,V-14-21
6249,2154,1,336,30,20,2024-01-30 20:06:00,2024-02-15 20:06:00,E-83-37
6250,2155,1,64,14,30,2024-08-15 10:00:00,2024-10-07 10:00:00,K-27-93
6251,2155,3,26,28,100,2023-09-29 21:20:00,2023-10-15 21:20:00,E-79-85
6252,2156,4,195,35,10,2024-01-24 23:05:00,2024-03-18 23:05:00,i-69-99
6253,2157,2,115,47,10,2024-08-10 07:27:00,2024-09-08 07:27:00,y-98-87
6254,2158,1,280,49,10,2024-02-01 07:47:00,2024-03-10 07:47:00,e-26-73
6255,2159,5,82,19,100,2024-11-02 18:27:00,2024-11-08 18:27:00,L-32-08
6256,2159,2,330,24,10,2024-05-13 05:38:00,2024-06-08 05:38:00,I-49-04
6257,2160,1,176,49,50,2024-09-03 10:59:00,2024-10-19 10:59:00,j-27-10
6258,2160,2,161,12,50,2023-12-24 11:33:00,2024-01-18 11:33:00,P-72-56
6259,2161,2,45,15,100,2023-03-05 20:51:00,2023-03-07 20:51:00,t-43-57
6260,2162,3,203,22,100,2023-09-14 17:09:00,2023-10-26 17:09:00,D-47-54
6261,2162,2,368,29,100,2024-03-20 11:35:00,2024-04-02 11:35:00,a-95-41
6262,2163,2,232,7,50,2024-05-16 04:17:00,2024-07-08 04:17:00,M-10-21
6263,2163,4,218,49,100,2023-10-26 06:16:00,2023-12-08 06:16:00,k-28-95
6264,2164,3,11,10,30,2024-06-07 04:07:00,2024-08-01 04:07:00,e-77-79
6265,2165,5,377,18,30,2023-03-25 18:29:00,2023-05-04 18:29:00,U-28-67
6266,2166,1,9,50,30,2023-12-29 01:05:00,2024-01-03 01:05:00,x-73-11
6267,2166,4,259,37,20,2024-12-02 23:10:00,2025-01-12 23:10:00,K-81-21
6268,2166,3,141,19,50,2024-12-17 18:06:00,2025-01-14 18:06:00,H-11-05
6269,2167,2,22,20,20,2023-01-27 08:35:00,2023-03-13 08:35:00,U-32-12
6270,2167,1,137,5,10,2024-03-24 00:19:00,2024-05-10 00:19:00,m-65-85
6271,2168,1,118,36,50,2024-11-01 17:57:00,2024-12-08 17:57:00,B-14-37
6272,2168,5,230,13,10,2024-06-30 19:10:00,2024-07-31 19:10:00,x-90-74
6273,2169,4,1,50,50,2024-01-29 13:15:00,2024-02-26 13:15:00,a-55-59
6274,2169,2,10,38,50,2023-04-02 07:47:00,2023-05-02 07:47:00,E-84-94
6275,2170,2,128,35,50,2023-11-29 15:04:00,2023-12-28 15:04:00,O-20-44
6276,2171,5,27,48,20,2023-11-11 23:45:00,2023-11-27 23:45:00,H-88-84
6277,2171,4,88,2,10,2023-12-17 18:15:00,2024-02-03 18:15:00,r-62-30
6278,2172,2,339,14,100,2023-07-15 02:46:00,2023-07-19 02:46:00,h-07-30
6279,2172,1,165,43,100,2024-04-17 23:15:00,2024-06-09 23:15:00,d-36-80
6280,2172,4,120,17,20,2024-02-27 10:44:00,2024-04-20 10:44:00,K-44-19
6281,2173,5,311,33,10,2023-02-21 06:26:00,2023-04-01 06:26:00,A-45-13
6282,2173,1,393,9,10,2024-03-01 13:26:00,2024-03-23 13:26:00,o-60-30
6283,2174,5,125,32,50,2024-10-14 17:24:00,2024-10-20 17:24:00,A-48-72
6284,2174,1,198,2,30,2024-01-19 21:39:00,2024-01-20 21:39:00,n-27-00
6285,2175,1,101,23,20,2024-09-07 01:27:00,2024-11-02 01:27:00,N-53-58
6286,2176,5,295,36,50,2023-02-23 13:41:00,2023-03-15 13:41:00,G-81-06
6287,2176,2,199,38,50,2024-02-11 18:56:00,2024-04-08 18:56:00,X-38-01
6288,2177,4,204,2,30,2023-05-04 08:38:00,2023-05-15 08:38:00,v-05-47
6289,2178,3,346,30,30,2024-04-07 23:24:00,2024-05-24 23:24:00,f-85-58
6290,2179,5,300,24,30,2024-05-30 02:08:00,2024-07-15 02:08:00,j-52-00
6291,2180,3,177,50,30,2024-09-02 02:22:00,2024-09-13 02:22:00,A-27-65
6292,2181,3,151,49,100,2023-11-10 04:59:00,2023-12-04 04:59:00,n-98-92
6293,2182,4,78,25,30,2024-03-20 10:55:00,2024-04-16 10:55:00,R-21-29
6294,2182,5,145,0,10,2023-06-15 19:43:00,2023-07-23 19:43:00,b-59-21
6295,2183,1,284,3,100,2023-07-09 10:15:00,2023-08-07 10:15:00,a-81-78
6296,2183,3,174,32,50,2024-03-28 11:15:00,2024-05-05 11:15:00,M-96-97
6297,2184,5,376,50,30,2023-02-14 12:03:00,2023-03-04 12:03:00,N-12-57
6298,2184,4,106,18,50,2024-06-03 01:02:00,2024-07-06 01:02:00,F-18-94
6299,2185,5,44,46,50,2024-10-02 03:29:00,2024-11-17 03:29:00,R-79-29
6300,2186,4,371,46,30,2024-08-04 19:04:00,2024-09-05 19:04:00,J-20-76
6301,2186,5,26,40,50,2023-07-15 18:31:00,2023-09-09 18:31:00,k-65-94
